province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Jiangxi,2018,0.0,0.0,,,0.0,0.0,1,2.0,7.0
Jiangxi,2019,,,,,,,0,,
Jiangxi,2020,,,,,,,0,,
Jiangxi,2021,,,,,,,0,,
Jiangxi,2022,,,,,,,0,,
Jiangxi,2023,,,,,,,0,,
Jilin,2000,0.0,0.0,,,0.0,0.0,1,,
Jilin,2001,0.0,0.0,,,0.0,0.0,1,,
Jilin,2002,0.0,0.0,,,0.0,0.0,1,,
Jilin,2003,0.0,0.0,,,0.0,0.0,1,,
Jilin,2004,1.0,0.0,王珉,,1.0,0.0,1,,0.0
Jilin,2005,0.0,0.0,,,0.0,0.0,1,,1.0
Jilin,2006,1.0,1.0,韩长赋,王珉,1.0,1.0,1,0.0,0.0
Jilin,2007,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jilin,2008,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Jilin,2009,1.0,1.0,王儒林,孙政才,1.0,1.0,1,0.0,0.0
Jilin,2010,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jilin,2011,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Jilin,2012,1.0,1.0,巴音朝鲁,王儒林,1.0,1.0,1,0.0,0.0
Jilin,2013,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jilin,2014,1.0,1.0,蒋超良,巴音朝鲁,1.0,1.0,1,0.0,0.0
Jilin,2015,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jilin,2016,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Jilin,2017,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Jilin,2018,1.0,0.0,景俊海,,1.0,0.0,1,4.0,0.0
Jilin,2019,,,,,,,0,,
Jilin,2020,,,,,,,0,,
Jilin,2021,,,,,,,0,,
Jilin,2022,,,,,,,0,,
Jilin,2023,,,,,,,0,,
Liaoning,2000,1.0,0.0,薄熙来,,1.0,0.0,1,,0.0
Liaoning,2001,0.0,0.0,,,0.0,0.0,1,,1.0
Liaoning,2002,0.0,0.0,,,0.0,0.0,1,,2.0
Liaoning,2003,0.0,0.0,,,0.0,0.0,1,,3.0
Liaoning,2004,1.0,1.0,张文岳,李克强,1.0,1.0,1,0.0,0.0
Liaoning,2005,0.0,0.0,,,0.0,0.0,1,1.0,1.0
