province,date,value
江苏,20100531,39149.2
江苏,20100630,39642.9
江苏,20100731,40140.4
江苏,20100831,40585.8
江苏,20100930,41119.8
江苏,20101031,41512.3
江苏,20101130,41926.6
江苏,20101231,42121
江苏,20110131,42966.8
江苏,20110228,43493.9
江苏,20110331,43814.8
江苏,20110430,44557.1
江苏,20110531,44946.7
江苏,20110630,45286.2
江苏,20110731,45880.8
江苏,20110831,46311.7
江苏,20110930,46432.9
江苏,20111031,46898.9
江苏,20111130,47393.1
江苏,20111231,47868.3
江苏,20120131,48580.4
江苏,20120229,49257.9
江苏,20120331,49956.8
江苏,20120430,50428.4
江苏,20120531,50980.4
江苏,20120630,51773
江苏,20120731,52347.7
江苏,20120831,52931.8
江苏,20120930,53260.9
江苏,20121031,53693.4
江苏,20121130,54172.2
江苏,20121231,54412.3
江苏,20130131,55572.7
江苏,20130228,56344.5
江苏,20130331,56952.7
江苏,20130430,57474.1
江苏,20130531,58127.1
江苏,20130630,58905.5
江苏,20130731,59455
江苏,20130831,60141.7
江苏,20130930,60632.2
江苏,20131031,61050.6
江苏,20131130,61463.7
江苏,20131231,61836.5
江苏,20140131,62920.54
江苏,20140228,63454.87
江苏,20140331,64177.96
江苏,20140430,64916.92
江苏,20140531,65625.42
江苏,20140630,66490.04
江苏,20140731,66841.09
江苏,20140831,67373.81
江苏,20140930,67959.47
江苏,20141031,68329.62
江苏,20141130,69168.92
江苏,20141231,69572.67
江苏,20150131,70800.69
江苏,20150228,71868.19
江苏,20150331,72557.49
江苏,20150430,73140.23
江苏,20150531,73926.96
江苏,20150630,74853.78
江苏,20150731,75472.72
江苏,20150831,76016.2
江苏,20150930,77088.34
江苏,20151031,77710.35
江苏,20151130,78323.95
江苏,20151231,78866.34
江苏,20160131,78866.34
江苏,20160229,82964.25
江苏,20160331,84186.13
江苏,20160430,84769
江苏,20160531,85895.49
江苏,20160630,86928.74
江苏,20160731,87478.2
江苏,20160831,88258.06
江苏,20160930,89739.16
